collisions,steps,timestamp
1.0,12.0,1551184512.0153651
1.0,44.0,1551184512.430948
1.0,67.0,1551184512.750588
1.0,68.0,1551184512.767376
1.0,69.0,1551184512.7830331
1.0,70.0,1551184512.798322
1.0,71.0,1551184512.813961
1.0,72.0,1551184512.829677
1.0,73.0,1551184512.845015
1.0,74.0,1551184512.861522
1.0,75.0,1551184512.867458
1.0,106.0,1551184513.378335
1.0,171.0,1551184514.262439
1.0,192.0,1551184514.546589
1.0,312.0,1551184516.128243
1.0,341.0,1551184516.498046
1.0,361.0,1551184516.7521842
1.0,362.0,1551184516.767405
1.0,363.0,1551184516.782399
1.0,364.0,1551184516.797958
1.0,365.0,1551184516.813705
1.0,366.0,1551184516.828927
1.0,367.0,1551184516.8456802
1.0,368.0,1551184516.8633149
1.0,369.0,1551184516.879329
1.0,370.0,1551184516.8967109
1.0,371.0,1551184516.9126458
1.0,372.0,1551184516.930024
1.0,373.0,1551184516.946012
1.0,374.0,1551184516.963701
1.0,375.0,1551184516.979716
1.0,376.0,1551184516.99726
1.0,377.0,1551184517.013419
1.0,378.0,1551184517.028503
1.0,379.0,1551184517.034606
1.0,380.0,1551184517.052298
1.0,413.0,1551184517.447795
1.0,501.0,1551184518.679585
1.0,529.0,1551184519.047392
1.0,561.0,1551184519.433541
1.0,584.0,1551184519.733854
1.0,588.0,1551184519.7979908
1.0,589.0,1551184519.813699
1.0,590.0,1551184519.829686
1.0,591.0,1551184519.847873
1.0,592.0,1551184519.864322
1.0,593.0,1551184519.8799
1.0,594.0,1551184519.896717
1.0,595.0,1551184519.9159648
1.0,596.0,1551184519.932065
1.0,597.0,1551184519.9473338
1.0,598.0,1551184519.962532
1.0,599.0,1551184519.9837692
1.0,600.0,1551184520.0002491
1.0,601.0,1551184520.01562
1.0,602.0,1551184520.0308921
1.0,603.0,1551184520.046307
1.0,604.0,1551184520.0625951
1.0,605.0,1551184520.081886
1.0,606.0,1551184520.0976799
1.0,607.0,1551184520.113143
1.0,608.0,1551184520.129508
1.0,609.0,1551184520.147326
1.0,610.0,1551184520.163441
1.0,611.0,1551184520.181188
1.0,645.0,1551184520.6344361
1.0,689.0,1551184521.231201
1.0,700.0,1551184521.365942
1.0,724.0,1551184521.663899
1.0,750.0,1551184522.0002098
1.0,862.0,1551184523.499201
1.0,922.0,1551184524.268362
1.0,962.0,1551184524.8004942
