dropped,latency,steps,timestamp
1.0,19.0,19.0,1551182858.81148
1.0,22.0,22.0,1551182858.845699
1.0,23.0,23.0,1551182858.862286
1.0,36.0,36.0,1551182859.015434
1.0,36.0,36.0,1551182859.016947
1.0,43.0,43.0,1551182859.1101172
1.0,45.0,45.0,1551182859.143449
1.0,53.0,53.0,1551182859.233836
1.0,53.0,53.0,1551182859.235051
1.0,58.0,58.0,1551182859.314708
1.0,58.0,58.0,1551182859.315773
1.0,63.0,63.0,1551182859.3844202
1.0,64.0,64.0,1551182859.407569
1.0,66.0,66.0,1551182859.4441931
1.0,66.0,66.0,1551182859.445296
1.0,73.0,73.0,1551182859.546334
1.0,73.0,73.0,1551182859.547431
1.0,73.0,73.0,1551182859.5484369
1.0,81.0,81.0,1551182859.6642408
1.0,88.0,88.0,1551182859.761608
1.0,90.0,90.0,1551182859.8484259
1.0,44.0,91.0,1551182859.8648078
1.0,93.0,93.0,1551182859.896051
1.0,103.0,103.0,1551182860.016163
1.0,105.0,105.0,1551182860.0460339
1.0,110.0,110.0,1551182860.111426
1.0,113.0,113.0,1551182860.159762
1.0,90.0,114.0,1551182860.1703732
1.0,116.0,116.0,1551182860.1995149
1.0,119.0,119.0,1551182860.255573
1.0,122.0,122.0,1551182860.295539
1.0,129.0,129.0,1551182860.392502
1.0,142.0,142.0,1551182860.550802
1.0,47.0,145.0,1551182860.596577
1.0,149.0,149.0,1551182860.649703
1.0,158.0,158.0,1551182860.765017
1.0,159.0,159.0,1551182860.780179
1.0,161.0,161.0,1551182860.8109272
1.0,168.0,168.0,1551182860.9013638
1.0,129.0,173.0,1551182860.967641
1.0,60.0,180.0,1551182861.0688992
1.0,157.0,180.0,1551182861.069942
1.0,134.0,181.0,1551182861.089386
1.0,113.0,182.0,1551182861.106851
1.0,184.0,184.0,1551182861.138578
1.0,188.0,188.0,1551182861.184268
1.0,138.0,193.0,1551182861.24944
1.0,195.0,195.0,1551182861.287207
1.0,147.0,197.0,1551182861.3148658
1.0,30.0,205.0,1551182861.447283
1.0,89.0,211.0,1551182861.548813
1.0,212.0,212.0,1551182861.5710342
1.0,213.0,213.0,1551182861.591198
1.0,216.0,216.0,1551182861.6342049
1.0,220.0,220.0,1551182861.683865
1.0,222.0,222.0,1551182861.7107468
1.0,225.0,225.0,1551182861.762681
1.0,53.0,233.0,1551182861.878499
1.0,234.0,234.0,1551182861.901101
1.0,240.0,240.0,1551182861.9885938
1.0,241.0,241.0,1551182862.007102
1.0,250.0,250.0,1551182862.118068
1.0,254.0,254.0,1551182862.178153
1.0,129.0,255.0,1551182862.1974158
1.0,190.0,275.0,1551182862.448166
1.0,72.0,276.0,1551182862.465615
1.0,71.0,278.0,1551182862.493988
1.0,93.0,279.0,1551182862.5141602
1.0,80.0,280.0,1551182862.531174
1.0,281.0,281.0,1551182862.548362
1.0,211.0,287.0,1551182862.6298938
1.0,290.0,290.0,1551182862.6788962
1.0,250.0,296.0,1551182862.760714
1.0,131.0,296.0,1551182862.761705
1.0,297.0,297.0,1551182862.780065
1.0,304.0,304.0,1551182862.867352
1.0,304.0,304.0,1551182862.8688362
1.0,306.0,306.0,1551182862.904337
1.0,255.0,306.0,1551182862.9054568
1.0,331.0,331.0,1551182863.250539
1.0,137.0,333.0,1551182863.283755
1.0,333.0,333.0,1551182863.284928
1.0,338.0,338.0,1551182863.352113
1.0,174.0,339.0,1551182863.3692641
1.0,225.0,339.0,1551182863.370282
1.0,339.0,339.0,1551182863.371228
1.0,88.0,340.0,1551182863.393329
1.0,287.0,342.0,1551182863.431146
1.0,266.0,356.0,1551182863.61713
1.0,191.0,359.0,1551182863.662875
1.0,239.0,363.0,1551182863.718446
1.0,88.0,364.0,1551182863.737536
1.0,117.0,365.0,1551182863.754171
1.0,367.0,367.0,1551182863.776648
1.0,376.0,376.0,1551182863.877625
1.0,382.0,382.0,1551182863.965495
1.0,141.0,385.0,1551182864.014673
1.0,267.0,393.0,1551182864.127713
1.0,400.0,400.0,1551182864.2290208
1.0,410.0,410.0,1551182864.3716109
1.0,412.0,412.0,1551182864.3938072
1.0,420.0,420.0,1551182864.494011
1.0,100.0,420.0,1551182864.4950368
1.0,96.0,426.0,1551182864.5953019
1.0,427.0,427.0,1551182864.613245
1.0,428.0,428.0,1551182864.631327
1.0,397.0,432.0,1551182864.685143
1.0,234.0,434.0,1551182864.716654
1.0,193.0,439.0,1551182864.78332
1.0,147.0,441.0,1551182864.815247
1.0,121.0,441.0,1551182864.816262
1.0,449.0,449.0,1551182864.9168088
1.0,154.0,451.0,1551182864.949316
1.0,203.0,453.0,1551182864.976853
1.0,459.0,459.0,1551182865.062289
1.0,187.0,462.0,1551182865.102698
1.0,211.0,466.0,1551182865.149857
1.0,329.0,470.0,1551182865.211516
1.0,376.0,470.0,1551182865.212621
1.0,230.0,476.0,1551182865.311677
1.0,79.0,479.0,1551182865.3640478
1.0,84.0,484.0,1551182865.432378
1.0,353.0,485.0,1551182865.449194
1.0,493.0,493.0,1551182865.5597389
1.0,501.0,501.0,1551182865.6602051
1.0,446.0,502.0,1551182865.670502
1.0,97.0,502.0,1551182865.671564
1.0,327.0,503.0,1551182865.687863
1.0,507.0,507.0,1551182865.734006
1.0,149.0,509.0,1551182865.764896
1.0,236.0,512.0,1551182865.798549
1.0,70.0,512.0,1551182865.8000262
1.0,223.0,520.0,1551182865.9005
1.0,220.0,528.0,1551182866.006098
1.0,274.0,529.0,1551182866.027235
1.0,531.0,531.0,1551182866.0503
1.0,263.0,535.0,1551182866.101989
1.0,512.0,541.0,1551182866.181652
1.0,483.0,546.0,1551182866.2610729
1.0,549.0,549.0,1551182866.3004448
1.0,153.0,549.0,1551182866.301986
1.0,553.0,553.0,1551182866.361674
1.0,205.0,562.0,1551182866.478801
1.0,471.0,564.0,1551182866.502699
1.0,96.0,566.0,1551182866.531968
1.0,568.0,568.0,1551182866.561627
1.0,205.0,576.0,1551182866.669291
1.0,51.0,579.0,1551182866.714776
1.0,19.0,580.0,1551182866.730946
1.0,86.0,580.0,1551182866.731955
1.0,92.0,582.0,1551182866.7651699
1.0,20.0,584.0,1551182866.796034
1.0,586.0,586.0,1551182866.828468
1.0,249.0,590.0,1551182866.8847659
1.0,86.0,590.0,1551182866.886166
1.0,90.0,596.0,1551182866.965357
1.0,329.0,608.0,1551182867.129484
1.0,268.0,613.0,1551182867.195081
1.0,310.0,614.0,1551182867.21404
1.0,422.0,614.0,1551182867.2152598
1.0,69.0,615.0,1551182867.234947
1.0,93.0,620.0,1551182867.310614
1.0,623.0,623.0,1551182867.348556
1.0,350.0,625.0,1551182867.381783
1.0,113.0,629.0,1551182867.4346828
1.0,478.0,639.0,1551182867.5665631
1.0,394.0,640.0,1551182867.5833
1.0,641.0,641.0,1551182867.598677
1.0,79.0,646.0,1551182867.6645498
1.0,246.0,654.0,1551182867.763919
1.0,180.0,656.0,1551182867.798267
1.0,328.0,658.0,1551182867.8283122
1.0,202.0,664.0,1551182867.912116
1.0,146.0,668.0,1551182867.969475
1.0,670.0,670.0,1551182867.998934
1.0,115.0,673.0,1551182868.034421
